RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022
3101,0,Los Angeles County,County,CA,CA,Los Angeles-Long Beach-Anaheim,6,37,214234,214343,215321,217094,219299,221313,223383,225725,227850,229571,231225,232889,234067,235157,236578,238798,241011,243296,245663,248289,250563,252991,255109,257462,259203,261246,263815,267193,270905,274523,279231,284256,289648,294450,299233,303780,307345,310481,314242,318196,323309,327285,333212,339354,346256,351380,356348,361716,368087,374514,381149,389573,400198,410598,419924,428466,438742,448544,455178,460771,465064,472429,479231,486852,493056,500678,509190,518542,527713,538098,545365,551757,557290,562192,567594,571303,577130,581585,584484,586324,584626,584266,584087,586017,586597,586346,584808,584308,581695,579056,574088,569166,563658,557006,551179,544974,540954,535002,525384,511824,496792,483336,469813,457825,448856,441366,433762,423169,415776,411022,408540,405175,402018,397680,394618,392969,392534,392404,393982,398550,400632,400201,401085,403463,407718,406385,404399,399420,395290,391284,387828,386980,386353,387032,385441,384331,379834,379153,377723,375448,370915,366516,365911,365605,365353,365081,364776,365369,366259,368040,370028,371267,372542,375682,379425,385776,390805,398931,406676,416025,423421,431350,438947,447700,454561,459572,464235,467853,473198,475233,477472,476988,478280,478937,480229,478982,478277,479031,481975,485518,490106,494864,498767,499346,501580,503730,503941,504194,505109,509622,513353,518816,522401,526249,527971,532346,535534,539293,538644,539876,542471,548283,551665,554042,557768,561062,563891,565394,568699,572298,573969,576156,578669,583572,589696,594741,599955,605649,611366,615853,617813,620211,620719,621740,622890,626302,628586,628314,627746,625598,623786,623337,624197,625970,623922,623881,625137,629790,632492,635659,638749,645252,652002,657481,655325,652618,655169,664152,675180,685064,692714,698093,701854,708787,715715,726024,739797,757395,777119,789001,797547,800051,804554,809855,814969,823298,837794,855357,870495,872160,871661
139,1,Cook County,County,IL,IL,Chicago-Naperville-Elgin,17,31,178667,178963,179652,180868,182273,183486,184860,186402,188044,189755,191575,193329,194832,195949,197414,198787,200440,201772,203087,204626,206292,208196,209741,210987,212209,213450,215155,216303,217671,218559,220150,221929,224066,225923,227245,228766,230312,232115,233593,235241,236346,237461,238393,239864,241489,243317,244911,246514,248346,249948,251480,253157,255334,257642,259726,261844,263709,265824,268008,270494,272587,274578,276400,278622,281152,283654,285997,288148,290857,293319,295875,298269,300646,302802,304858,306556,308044,308694,309321,309529,309546,309208,309124,309505,310555,311588,312157,311930,311309,310507,309500,308557,306966,305675,304227,302515,301415,297190,,,293523,288299,288022,283527,281191,275811,272166,266746,261204,257199,252688,251376,248380,247593,245787,244537,240846,237817,234385,234090,232393,232479,229848,231178,229872,231203,227185,225310,221578,219375,216049,212966,210582,208074,206885,204862,204487,202786,202671,201082,199774,196281,194501,191030,189535,185939,186333,186271,187228,186717,185122,184208,183031,183959,184545,185201,186379,187757,188825,190282,191845,194807,197248,199861,201398,204525,205731,207765,208145,210265,211320,211843,212718,214074,214856,214644,215074,215561,216016,216627,216935,217748,218555,220475,221921,222234,222424,222523,222653,222324,222325,223390,224801,227588,229296,230382,230192,230123,230726,231169,231647,232322,233852,235415,237418,239277,241704,243152,243912,243597,243359,243403,244360,245009,245773,247188,249748,252188,253045,253188,253263,253520,253638,253563,254157,254553,255485,256256,256695,257321,257626,258027,257695,257230,257002,256632,256414,255892,255659,255546,255983,256554,256829,256596,256277,256305,257763,259656,263460,266855,269703,271392,272036,274348,276121,279179,280992,284069,287673,291485,294120,296654,299606,302385,305006,306796,309418,311618,315149,318010,320045
1090,2,Harris County,County,TX,TX,Houston-The Woodlands-Sugar Land,48,201,115635,115631,115401,115375,115323,115565,115752,116063,116467,116738,117350,117928,118182,118137,117594,117382,117334,117527,117707,117558,117685,117921,118234,118418,118568,118812,119374,120017,120588,121023,121505,122122,122652,122998,123269,123450,123780,123986,124357,124575,124819,124977,125157,125407,125527,125712,125838,126109,126553,127724,,131123,132520,132652,133619,133979,134803,135338,135928,136685,137396,138135,138636,139020,139077,139208,139167,139028,138797,138529,138688,138682,138825,138631,138766,138946,139634,140122,140716,141144,141797,142575,143150,143743,143871,143692,143307,143519,144086,144851,145180,145621,145941,146268,146462,146646,146025,145302,144619,144566,144290,143911,143634,143100,142327,141558,140569,139541,138512,138432,138492,138789,139087,139638,140257,140365,140165,139583,139537,139671,139537,139439,139650,140253,140643,140396,139441,137844,136637,135789,135442,135008,134434,133815,132893,132234,131760,131521,131528,131562,131412,131131,130073,129394,129128,129474,130005,130165,130502,130715,131317,131840,132164,132132,132400,132760,133623,134647,136438,138332,140077,141261,142479,143824,145220,146625,147889,149044,150334,151691,152739,153631,154450,155813,157116,158742,160195,161513,162698,164000,165527,166856,168497,169796,171042,171895,172339,172693,173016,173831,174438,175036,176192,177297,177986,177938,178331,179042,179921,180261,180524,180744,181829,183048,183687,184107,184554,185388,185890,186346,186392,186512,186719,187321,187976,188544,189228,189817,190454,191495,192536,193528,194180,195105,196049,197048,197972,198833,199880,200716,201107,201092,201183,201686,202173,202690,202885,203726,204414,205057,204750,204921,205870,207287,208167,208529,208988,209957,212158,214503,217061,219202,221292,223855,225096,226923,229186,234102,239489,245294,249731,253539,256142,259224,262435,266082,270808,275920,280925,284789,287346
2402,3,Maricopa County,County,AZ,AZ,Phoenix-Mesa-Scottsdale,4,13,144742,145123,145585,146495,147405,148089,148825,149526,150370,151092,151815,152532,153244,153945,154643,155319,155986,156634,157228,157832,158444,159133,159863,160492,161011,161468,162040,162644,163182,163853,164587,165542,166213,166909,167473,168207,168885,169640,170249,170965,171644,172437,173205,174086,175163,176209,177085,177783,178418,179327,180479,181852,183548,185321,,,193836,196707,199538,203491,207707,213320,218657,225011,231936,241530,252040,262038,272665,281384,290024,294180,295634,299785,304745,310374,312020,312636,311333,308517,304704,303053,300458,298227,295568,294144,293440,293397,293258,291994,289761,286863,283769,280786,276294,271655,266840,260826,254860,247281,242545,237552,232230,224923,218093,213063,205827,198389,191561,188482,185388,182022,177768,174574,172082,170058,168241,165364,165091,165164,165848,164574,163157,162846,162199,161605,158602,156320,153073,151541,149663,147944,145567,143720,142831,141285,139788,137931,137505,137408,137571,137823,137884,139172,140026,141460,142021,144704,148530,152767,156228,159593,163551,167218,170785,172925,175800,177677,180396,181982,183985,186877,190820,194047,196600,198379,198818,200458,202606,205904,206681,206173,205814,205997,205899,206004,205631,205977,207036,208482,209311,210021,212059,214176,216141,216923,218518,219894,221912,223012,223842,224442,226510,228280,229677,230624,231681,232627,232743,233350,234465,236296,237955,238812,239677,241146,242982,244255,245265,246362,248113,249092,250642,252002,253390,254157,255655,258010,260344,262235,263807,265122,266629,268157,270120,271328,272234,273082,274244,275511,276960,277815,278568,279299,280483,282432,284142,285844,287516,289637,291768,293885,296986,301317,304176,305909,307822,312303,317692,323112,328507,334839,342344,348816,357645,364331,376666,388207,401621,411711,420010,427585,433747,439547,445354,454125,463482,475158,484143,490573,488129
2841,4,San Diego County,County,CA,CA,San Diego-Carlsbad,6,73,225185,226411,227738,230698,233537,237218,241035,245142,248749,251908,255234,258088,260589,263752,267933,273026,277173,280157,282318,284539,287181,290017,292850,294948,297138,299286,302240,305650,309897,314410,319862,325559,331416,337358,342698,348709,353578,358377,363388,368745,374734,379459,385483,390597,397280,402937,408721,410232,415156,422489,432915,441359,450092,465098,478817,491695,500805,510457,517850,524312,528075,531799,538404,546662,554837,557521,558529,559686,560731,561423,561495,561555,563341,562829,563243,562421,564176,563357,560455,555950,552246,549600,548447,546602,545300,542960,537068,531305,525020,521099,515709,512338,507394,502923,496748,492632,486257,478459,469582,462956,454735,446409,436272,426950,415623,406443,397980,392630,387643,385000,383629,378723,375899,369663,368953,365776,367203,367680,371866,375389,378911,380565,382762,386737,387312,387037,384115,382015,378610,374126,370675,369605,368922,368118,365391,364046,362401,361824,360018,356247,352533,349797,349119,348050,348996,349980,351072,350525,351246,353842,356419,358829,360852,364094,367930,375257,381715,388129,394054,400846,407591,415841,424405,432673,436747,439409,442329,445768,452059,459580,460515,458869,455050,454934,455284,452678,453052,453897,458424,460367,460826,461478,466338,469948,473678,473802,472953,473690,476105,480667,484235,489117,496891,500135,499413,498863,500269,503601,502117,504487,507443,513635,516846,519557,519656,522738,526695,531979,537080,540864,542351,543318,545717,551000,554412,558271,564276,570747,574898,574696,574122,575188,577235,580295,581467,583714,584636,584291,580582,578261,577904,580905,582516,584369,586615,588581,589145,589698,591698,594187,597106,600310,605895,609787,612674,612912,616451,623057,633050,643966,655913,666434,675765,684065,694204,708108,728908,752865,776488,790990,800617,805310,812773,823998,844239,864353,887333,906549,919704,919171,907871
1286,5,Orange County,County,CA,CA,Los Angeles-Long Beach-Anaheim,6,59,273381,276049,277794,281431,284474,287712,290987,294148,297327,300901,303931,307436,310107,313616,316552,320368,323908,326754,329620,332338,336096,339417,342163,344856,347317,350359,353530,357566,362419,368017,374638,381309,387177,392549,397715,403328,408383,413525,418421,424694,431990,438096,444313,451135,459955,468909,477523,482319,490847,501700,,532536,548909,565530,580072,590042,594759,600223,603006,609998,617659,624639,634022,642146,652764,657992,665622,673538,682954,689954,693966,701466,707160,714217,717805,723108,726435,728965,726139,726731,724916,726394,722793,718633,718511,718786,719040,713422,707459,702778,694194,684078,670097,660761,655654,646268,634015,615611,604269,590013,578627,566991,560297,554554,551818,545249,536272,525993,517882,515875,511312,509441,506762,504839,503274,500990,502187,504959,511500,516616,517825,517107,515623,520492,522477,523600,518983,515324,511212,507150,502544,499594,498292,497868,495678,492001,485927,483177,482467,481041,476687,473595,473704,475552,473732,471527,469972,470091,471547,472612,476734,481137,486594,491831,497828,504075,514159,526347,539235,550248,560275,570171,575403,578692,582606,588115,596681,605590,611817,615396,612457,611062,607330,606159,605633,603969,604509,604721,608493,612367,615658,619668,622475,625796,626781,628093,630972,633537,636532,639208,641609,647722,652124,656843,658746,658535,660904,661035,664453,665592,665333,665510,669797,673618,679876,682045,686652,688041,690599,694093,695462,696279,698161,702383,707604,712845,717094,720945,724372,728678,732351,735887,736376,737290,736631,739483,740210,739108,736679,734491,734051,733516,734505,733603,734427,736252,741617,744973,744993,743380,745676,750613,757754,761824,760426,757078,757257,767074,777138,787512,794464,802441,810011,818347,827903,840025,859137,882830,906032,923088,934025,943840,956660,974443,998076,1019694,1044125,1067231,1087593,1088899,1080270
581,6,Kings County,County,NY,NY,New York-Newark-Jersey City,36,47,228381,229889,231376,234507,237492,240621,243574,245546,247373,249066,251613,253942,256599,259635,263010,266073,268886,271267,273278,275298,277420,279762,282359,284918,288648,293088,287352,280177,,,274794,281274,287611,293842,295112,296495,297721,304936,314578,325158,332632,346786,358778,365915,364811,365093,368627,371498,375962,379569,383051,383546,387046,389610,397470,402044,412629,420965,430578,437317,439354,441660,446694,455466,463341,469320,477813,487540,496889,506711,511659,517416,520877,525130,521715,522456,524567,535641,541886,549958,546618,546073,541202,540895,541459,540123,545114,544034,545924,542948,542582,545156,541969,539961,538235,538696,541742,543198,547190,545591,542187,538662,534149,531076,528642,526033,523794,521168,518469,513459,508363,502903,498548,493040,487780,483134,480340,477632,477198,477097,479773,484412,483477,481868,479888,482787,487674,488982,490814,489863,489543,487366,485417,482698,486898,490602,493757,490433,487104,485637,487088,489208,491046,493044,494226,494391,492795,493264,493807,494541,494495,495129,496934,498932,503419,507897,512834,516332,518206,519634,521939,525337,527244,529609,535786,542345,547456,551406,555706,562275,567792,575332,581523,586661,590613,594548,598537,601842,603652,605861,607605,609940,612412,619766,627679,634891,639448,643027,649038,654522,660975,665759,668221,669661,671493,674967,677587,679906,682471,685858,687439,688067,690197,694639,700249,704482,708193,712237,716078,718472,721160,724361,729841,736357,742010,747194,750644,755388,758380,760556,762473,765824,769613,772716,773271,775528,779809,785062,788504,790954,793065,794766,795595,795802,796606,794224,791888,788452,786285,784691,784062,784326,786709,788957,790572,790977,793546,797511,801369,803863,807914,810151,811070,811340,812119,814339,814316,816479,819986,827995,835603,840525,841915,842900,846524,851457,858018,863837,868955,874281,878026
2964,7,Miami-Dade County,County,FL,FL,Miami-Fort Lauderdale-West Palm Beach,12,86,133321,133973,134428,135355,136043,136756,137507,138165,138884,139480,140244,141109,142069,143026,143848,144807,145907,147207,148688,150352,152097,153691,155222,156768,158380,160040,161676,163470,165216,167168,169312,171669,173676,175477,177032,179556,182415,185523,188254,191086,193661,195971,197812,199940,202419,204947,207384,209175,211467,213706,216761,219426,222817,226249,230264,234469,238693,243090,247421,252367,257038,261677,265943,270221,276044,282957,290243,297096,304538,311171,316464,320939,326336,331192,337479,344138,351096,355602,359485,362329,364451,365396,367060,368845,369312,369960,368713,368611,367171,366158,364679,362796,359038,356076,351721,349595,341932,334030,324408,317079,310129,302929,295752,287236,278335,269464,261721,253687,245230,237367,230017,223948,218143,213814,208931,204924,200990,198455,195967,193442,191998,190967,190713,190313,189717,188148,186411,184532,183084,180810,179061,177878,176535,175105,173979,173722,173128,172153,171233,170804,170660,171260,171868,172081,172670,172643,173148,173418,174479,176072,177574,179452,181679,183787,185799,187060,188556,191021,194341,198216,201109,203196,206037,208766,211800,214358,218549,222790,226385,227957,229045,229971,231448,233205,235100,236976,239176,242116,243904,245786,246474,247987,248660,249851,251284,252964,254284,255536,257185,258229,260232,262409,265213,267453,268798,270399,271394,273541,275864,278168,279851,281071,282353,284134,286175,288040,288864,289639,291029,292500,293796,295347,296330,298003,298416,300130,301015,303464,305426,307721,309377,310879,312379,313138,314126,314617,317275,318923,320985,321304,322228,323072,323185,323759,324067,324128,323852,324226,324577,324763,324792,327531,329891,331707,332738,333488,334749,335977,337957,339769,341094,343798,347920,351897,356645,359390,364400,369279,375621,382175,390211,398752,406651,414617,423121,430904,439366,447444,459881,473037,487236
978,8,Dallas County,County,TX,TX,Dallas-Fort Worth-Arlington,48,113,116003,116119,116220,116455,116708,116951,117261,117694,118246,118824,119403,120035,120424,119914,119816,119920,120598,120510,120427,120671,121013,121375,121564,121841,122000,122322,122678,123209,123687,124338,124909,125492,126043,126530,127021,127396,127673,127883,128162,128347,128517,128670,128666,128676,128655,128850,129075,129115,,,,,137662,137784,137874,138168,138206,138408,139020,139407,140484,140334,140654,140568,141169,141956,142187,142328,142433,142247,142293,141882,141661,141886,142162,142813,143425,143967,143903,143512,143420,144355,144779,145302,144687,144029,143407,143710,144471,144959,145371,145787,146309,146284,146321,146571,145827,144275,142499,141672,141402,140960,140926,140313,139332,137826,135740,134536,133492,134055,134225,134752,134938,134968,134985,134776,135015,135135,135843,136021,135621,135008,134402,134578,134456,134624,134060,133317,131850,130857,129698,129566,129217,128969,128155,127274,126487,125830,125605,125294,125263,124900,124594,123638,122826,122939,123538,123920,123957,124179,125156,125723,126296,126627,127367,127964,128274,128230,128299,129162,130319,131754,132954,133953,135196,136629,138214,139426,139231,139148,138963,139849,141066,142655,142656,142602,142613,144031,145756,147223,147495,147419,147551,149623,152026,154372,156676,157514,158467,159395,161542,163580,163516,163191,162813,164383,166435,168815,171555,173129,174603,176007,178310,180336,181874,183403,184932,186511,187984,188958,189891,189867,190400,190912,192397,194302,197687,201168,204146,205619,207035,208446,210251,212913,214068,214692,214461,215647,218525,221197,223554,223738,223307,222766,222699,223896,225518,225284,224448,223151,225465,227543,229937,230031,229821,229623,230111,232154,234618,237543,239278,241261,244231,247905,251300,254196,257507,262000,266674,273700,280630,286267,289537,292456,297709,305085,312504,321296,328165,334869,337438
1347,9,Queens County,County,NY,NY,New York-Newark-Jersey City,36,81,253415,255277,257174,260061,262475,264748,267452,270531,273370,276864,280209,283385,285975,288397,291347,294451,297740,300726,303504,305938,307382,308815,310920,313872,317187,318518,316689,314362,,315938,318656,321428,323871,326029,328057,329839,331835,333978,336033,337899,339520,342459,344182,346135,347763,350573,353473,355534,358322,361028,364082,367242,371217,376208,381250,385850,390305,395401,401738,407643,412159,416335,421311,428131,435454,439414,445931,451934,460047,466445,471620,479560,485172,492068,497113,500748,505683,507708,510846,514590,519268,516052,,495802,492115,494516,501879,505319,509306,504209,502606,500635,500289,502824,502956,504440,504072,502769,499315,496188,492082,487972,483616,479406,474864,471183,467331,461878,455891,450192,446558,442799,438544,434382,430053,426815,424200,421427,421049,420241,420164,418493,416610,415944,416060,418213,419329,420312,421715,423387,423198,421284,420776,420806,422026,421481,421553,420639,420431,420369,419757,417814,416198,415546,415691,415490,413978,413642,413251,415538,417019,417668,417685,418199,420536,421844,422778,423548,425712,428349,430588,433520,436407,439343,441057,442962,446118,448770,452698,456779,461134,464745,466169,467701,469617,472150,475473,477040,480422,483172,486187,488243,490312,493161,495559,500078,503866,507973,510115,512050,514556,517562,520835,524100,526600,530382,533943,537835,541647,545057,549172,552464,556621,559991,564026,566554,569504,571364,574594,577446,580888,584258,587448,591596,594875,597811,600241,603942,608456,613700,618352,623453,628737,632993,636458,637908,640354,643354,646524,649868,652369,653375,653747,652866,652343,651638,650383,649750,649216,650032,651943,655118,656657,657617,656110,655927,657771,659989,663187,663640,666301,669996,674920,677391,678334,678921,683037,687109,691510,694246,699640,705015,709470,711791,714953,718606,723852,727654,733229,737780,742038
