Data Center,Company,White space,Gross power
Southfield,123 NET,-,-
325 Hudson Street,325 Hudson Street,-,-
360TCS,360TCS,-,-
Buffalo,365 Data Centers,1055 m²,-
Chicago,365 Data Centers,1279 m²,-
Indianapolis,365 Data Centers,976 m²,-
Nashville,365 Data Centers,1588 m²,-
New York,365 Data Centers,918 m²,-
Philadelphia,365 Data Centers,936 m²,-
Tampa,365 Data Centers,847 m²,-
421 West Church Street,421 West Church Street,-,-
470 Exchange,470 exchange,-,-
511 Building - Minnesota Technology Center,511 Building,929 m²,-
Madison,5Nines,-,-
FedConnect San Francisco,60 Fed LLC,-,-
"Oliver Street, LLC",800 Oliver,-,-
910Telecom,910Telecom,-,-
Comfluent 639,910Telecom,-,-
ACD.net MetroIX,ACD.net,-,-
AcroNOC INC,AcroNOC,-,-
Kansas City,Admo.net,-,-
Advance2000,Advance2000,-,-
McClellan Park/Sacramento,Advanced Data Centers,21367 m²,50000 kW
One Market Center,AiNET,23226 m²,-
AISO Solar Powered Data Center,Aiso,-,-
Downtown Data Center,Alchemy Communications,-,-
Irvine Data Center,Alchemy Communications,-,-
LAX Data Center,Alchemy Communications,-,-
Silicon Valley,Alibaba Group,-,-
Austin: 1905 E. 6th Street,Alpheus Communications,-,-
Dallas: 2323 Bryan,Alpheus Communications,-,-
Dallas: 2914 Taylor Steet,Alpheus Communications,-,-
Fort Worth: 307 & 309 West 7th St,Alpheus Communications,-,-
Houston: 777 Walker (2 Shell Plaza),Alpheus Communications,-,-
Boardman,Amazon,-,-
Dallas/Fort Worth,Amazon,-,-
Dublin,Amazon,-,-
Los Angeles,Amazon,-,-
Loudoun,Amazon,-,-
McNary,Amazon,-,-
Orange Township,Amazon,-,-
Sterling,Amazon,-,-
Findlay Commerce Park,American Electric Power (AEP),-,-
Fiber Alley Data Center,American Internet Services (AIS),1167 m²,1128 kW
Lightwave Data Center,American Internet Services (AIS),5307 m²,9100 kW
San Diego Tech Center,American Internet Services (AIS),1393 m²,750 kW
Van Buren Data Center,American Internet Services (AIS),602 m²,810 kW
Chicago,American Technology Services,-,-
216 West Jackson Boulevard,ANET Internet Solutions,-,-
Maiden,Apple,30000 m²,5000 kW
Maiden 2,Apple,-,-
Mesa,Apple,-,-
Newark,Apple,-,-
Prineville,Apple,-,-
Reno,Apple,-,-
Arbinet 75 Broad St,Arbinet,-,-
Arizona Data Centers,Arizona Data Centers,-,-
ARK Data Center,Ark Datacenters,-,-
Lenexa Data Center,Arsalon Technologies,-,-
Overland Park Data Center,Arsalon Technologies,-,-
Pine Ridge Data Center,Arsalon Technologies,-,-
Chicago 2 (North Railroad),Ascent Corp,23225 m²,54000 kW
Ascent Data,Ascent Data,-,-
Atjeu Hosting,Atjeu,-,-
Atlanta NAP (GNAX Atlanta),Atlanta NAP,-,-
Atlantech Online,"Atlantech Online, Inc.",-,-
