,Data Center,Company,Address,City,State,lat,lon,White space,Gross power
0,105 Cabot Street,Digital Realty,105 Cabot Street,Needham,Massachusetts,42.2802645,-71.2360624,,
1,128 First Avenue,Digital Realty,128 First Avenue,Needham,Massachusetts,42.2802645,-71.2360624,,
2,500 E Rutherford Boston,Broadview Networks,500 E Rutherford,Boston,Massachusetts,42.3554334,-71.060511,,
3,55 Middlesex,Digital Realty,55 Middlesex Turnpike,Bedford,Massachusetts,42.4917301,-71.2817947,,
4,Boston North,"Provdotnet, LLC",187 Billerica RD,Chelmsford,Massachusetts,42.5998139,-71.3672838,,
5,Cogent Boston,"Cogent Communications, Inc.",59 Inner Belt Road,Somerville,Massachusetts,42.3875968,-71.0994968,,
6,ColoSpace Boston,FirstLight Fiber,70 Inner Belt Road,Somerville,Massachusetts,42.3875968,-71.0994968,,
7,ColoSpace Boston/Somerville,FirstLight Fiber,70 Inner Belt Road,Somerville,Massachusetts,42.3875968,-71.0994968,,
8,ColoSpace Rockland,FirstLight Fiber,1050 Hingham Street,Rockland,Massachusetts,42.1306563,-70.9161551,,
9,ColoSpace Waltham,FirstLight Fiber,265 Winter Street,Waltham,Massachusetts,42.3756401,-71.2358004,,
10,CoreSite Boston (BO1),CoreSite,70 Innerbelt Road,Boston,Massachusetts,42.3554334,-71.060511,,
11,Cyxtera - Boston BOS1-A,Cyxtera Technologies,580 Winter St,Waltham,Massachusetts,42.3756401,-71.2358004,,
12,Cyxtera - Boston BOS1-B,Cyxtera Technologies,115 2nd Ave,Waltham,Massachusetts,42.3756401,-71.2358004,,
13,Cyxtera - Boston BOS1-C,Cyxtera Technologies,600 Winter Street,Waltham,Massachusetts,42.3756401,-71.2358004,,
14,EdgeConneX Boston - EDCBOS01,EdgeConneX,22 Linnell Circle,Billerica,Massachusetts,42.5584264,-71.268947,,
15,Equinix BO1,"Equinix, Inc",Secret location,Waltham,Massachusetts,42.3756401,-71.2358004,,
16,Expedient Data Centers - Boston,Expedient Data Centers,1 Cabot Road,Medford,Massachusetts,42.4184296,-71.1061639,,
17,INAP Boston 50 Innerbelt Rd,INAP,50 Innerbelt Road,Somerville,Massachusetts,42.3875968,-71.0994968,,
18,Iron Mountain Data Centers BOS-1,Iron Mountain,171 Bearfoot Rd.,Northborough,Massachusetts,42.3273118,-71.6406529,,
19,Lumen Cambridge 1,Lumen,300 Bent Street,Cambridge,Massachusetts,42.3750997,-71.1056157,,
20,Lumen Cambridge 2,Lumen,1 Main Street,Cambridge,Massachusetts,42.3750997,-71.1056157,,
21,One Summer St.,Markley Group LLC.,1 Summer Street,Boston,Massachusetts,42.3554334,-71.060511,,
22,RCN Metro 56 Roland,Sidera Networks,"56 Roland St, 2nd floor",Boston,Massachusetts,42.3554334,-71.060511,,
23,Shore.Net,Shore.Net,173 Oxford Street,Lynn,Massachusetts,42.466763,-70.9494939,,
24,"SNS Norwood, MA","Secured Network Services, Inc.",1500 Providence Highway,Norwood,Massachusetts,42.194543,-71.1994976,,
25,TierPoint Boston-Andover,TierPoint,15 Shattuck Road,Andover,Massachusetts,42.65717,-71.1408776,,
26,TierPoint Boston-Charleston,TierPoint,500 Rutherford Avenue,Boston,Massachusetts,42.3554334,-71.060511,,
27,XO Boston,XO Communications,"451 D Street, 3rd FL",Boston,Massachusetts,42.3554334,-71.060511,,
28,XO Boston #2,XO Communications,"89 Fulkerson St, 1st FL",Cambridge,Massachusetts,42.3750997,-71.1056157,,
29,Lumen Hartford 1,Lumen,155 Locust Street,Hartford,Connecticut,41.764582,-72.6908547,,
30,NWI Networks,"New Wave Industries, Inc.",135 Day Street,Newington,Connecticut,41.6978777,-72.7237063,,
31,The Computer Company Inc.,The Computer Company Inc.,15 Commerce Drive,Cromwell,Connecticut,41.5949942,-72.6455665,,
32,FirstLight Williston VT,FirstLight Fiber,45 Krupp Dr,Williston,Vermont,44.4374044,-73.0689621,,
33,"Tech Vault, Inc.","Tech Vault, Inc.","21 Gregory Drive, Suite 165",South Burlington,Vermont,44.4669941,-73.1709604,,
34,Amnet Technology Solutions,Amnet Technology Solutions,26 Fahey St,Stamford,Connecticut,41.0534302,-73.5387341,,
35,"CyrusOne - Stamford, CT",CyrusOne Data Centers,Stamford,Stamford,Connecticut,41.0534302,-73.5387341,,
36,Data Ark - Stamford,"Data Ark Systems, LLC",25 Harborview Ave.,Stamford,Connecticut,41.0534302,-73.5387341,,
37,Fibertech Stamford,Fibertech Networks,1351 Washington Blvd,Stamford,Connecticut,41.0534302,-73.5387341,,
38,Lumen Stamford,Lumen,21 Harborview Ave,Stamford,Connecticut,41.0534302,-73.5387341,,
39,365 Data Centers - Philadelphia,365 Data Centers,"3701 Market St, 5th floor",Philadelphia,Pennsylvania,39.9527237,-75.1635262,,
40,"401 N Broad St. Philadelphia,",Broadview Networks,401 N Broad Street,New York,Pennsylvania,41.4447133,-75.6725673,,
41,Cross Connect Solutions,Cross Connect Solutions,401 N Broad Street,Philadelphia,Pennsylvania,39.9527237,-75.1635262,,
42,CROWN CASTLE (PA1),CROWN CASTLE,401 N. Broad Street,Philadelphia,Pennsylvania,39.9527237,-75.1635262,,
43,CROWN CASTLE (PA2),CROWN CASTLE,1309 Noble Street,Philadelphia,Pennsylvania,39.9527237,-75.1635262,,
44,DE Philly,Digital Edge,401 N Broad Street,Philadelphia,Pennsylvania,39.9527237,-75.1635262,,
45,Equinix PH1,"Equinix, Inc","401 North Broad Street, Suite 990",Philadelphia,Pennsylvania,39.9527237,-75.1635262,,
46,Flexential Allentown,Flexential,744 Roble Rd,Allentown,Pennsylvania,40.6022059,-75.4712794,,
47,Flexential Philly - Collegeville,Flexential,1000 Black Rock Road,Collegeville,Pennsylvania,40.1856597,-75.451571,,
48,H5 Data Centers Philadelphia,H5 Data Centers,1500 Spring Garden St,Philadelphia,Pennsylvania,39.9527237,-75.1635262,,
49,Keystone NAP 1,Keystone NAP,Secret location,Fairless Hills,Pennsylvania,40.1795537,-74.8551644,,
50,King of Prussia/Philadelphia,Agile Data Sites LLC,3400 Horizon Dr.,King of Prussia,Pennsylvania,40.09476245,-75.3851333563417,,
51,LightWave Networks,"LightWave Networks, Inc",401 North Broad St,Philadelphia,Pennsylvania,39.9527237,-75.1635262,,
52,Lumen Philadelphia 1,Lumen,401 N Broad Street,Philadelphia,Pennsylvania,39.9527237,-75.1635262,,
53,Lumen Philadelphia 2,Lumen,701 Market Street,Philadelphia,Pennsylvania,39.9527237,-75.1635262,,
54,Lumen Philadelphia 3,Lumen,3020 Market Street,Philadelphia,Pennsylvania,39.9527237,-75.1635262,,
55,Necessary Resources,Necessary Resources,2367 North Penn Road,Hatfield,Pennsylvania,40.2796371,-75.2995777,,
56,Netrality Properties - 401 N Broad,Netrality,401 N Broad,Philadelphia,Pennsylvania,39.9527237,-75.1635262,,
57,Philly DC 2 - Colocation America,Colocation America,1000 Adams Ave,Eagleville,Pennsylvania,40.160084999999995,-75.41067219964049,,
58,Quonix Networks,Quonix Solutions LLC,2401 Locust St,Philadelphia,Pennsylvania,39.9527237,-75.1635262,,
59,SungardAS Philly 401,Sungard Availability Services,401 N Broad Street,Philadelphia,Pennsylvania,39.9527237,-75.1635262,,
60,Terminal Commerce Building,Netrality,401 N Broad Street,Philadelphia,Pennsylvania,39.9527237,-75.1635262,,
61,TierPoint Conshohocken,TierPoint,1100 East Hector St.,Conshohocken,Pennsylvania,40.0792766,-75.3015714,,
62,TierPoint Lehigh Valley,TierPoint,3949 Schelden Circle,Bethlehem,Pennsylvania,40.6178915,-75.3786521,,
63,TierPoint Philadelphia- Navy Yard,TierPoint,4775 League Island Boulevard,Pennsylvania,Pennsylvania,44.9709062,-93.3766672,,
64,TrueNet,TrueNet,24 Hagerty Blvd,West Chester,Pennsylvania,39.9597213,-75.6059638,,
65,zColo - 401 N Broad St,zColo,401 N Broad St,Philadelphia,Pennsylvania,39.9527237,-75.1635262,,
66,IPR Wilmington CCC,"IPR International, LLC",Secret location,Wilmington,Delaware,39.7459468,-75.546589,,
67,Lumen Wilmington 1,Lumen,1603 North Jessup Street,Wilmington,Delaware,39.7459468,-75.546589,,
68,TRIJIT DATACENTER,Trijit Corporation,"501 Silverside Rd, Suite 105",Wilmington,Delaware,39.7459468,-75.546589,,
69,EdgeConneX Norfolk - EDCNOR01,EdgeConneX,"3800 Village Ave, Suite C",Norfolk,Virginia,36.8968052,-76.2602336,,
70,Zone5,"Zone5, LLC",2415 Almeda Ave,Norfolk,Virginia,36.8968052,-76.2602336,,
71,24/7 Mid Atlantic Network BA-1,"24/7 Mid Atlantic Network, LLC","111 Market Place, Suite 103",Baltimore,Maryland,39.2908816,-76.610759,,
72,Baltimore - Owings Mills,Expedient Data Centers,11155 Red Run,Baltimore,Maryland,39.2908816,-76.610759,,
73,Baltimore- Tide Point,Expedient Data Centers,1050 Hull Street,Baltimore,Maryland,39.2908816,-76.610759,,
74,Commercial Media,Commercial Media Corp.,1430 Joh Ave.,Baltimore,Maryland,39.2908816,-76.610759,,
75,IDMS-BAL01,InfraDMS,1 South St,Baltimore,Maryland,39.2908816,-76.610759,,
76,Lumen Baltimore,Lumen,300 West Lexington Street,Baltimore,Maryland,39.2908816,-76.610759,,
77,One Market Center,AiNET,300 West Lexington Street,Baltimore,Maryland,39.2908816,-76.610759,23226.0,
78,TierPoint Maryland,TierPoint,1401 Russell St,Baltimore,Maryland,39.2908816,-76.610759,,
79,tw telecom Baltimore,tw telecom,111 Market Pl,Baltimore,Maryland,39.2908816,-76.610759,,
80,XO Baltimore,XO Communications,"100 S. Charles St., Suite 215",Baltimore,Maryland,39.2908816,-76.610759,,
81,zColo - 111 Market Pl,zColo,111 Market Pl,Baltimore,Maryland,39.2908816,-76.610759,,
82,Cavalier Innsbrook Data Center,Cavalier,4551 Cox Road,Richmond,Virginia,37.5385087,-77.43428,,
83,CTSI,"Commonwealth Technical Services, Inc.",7517 Whitepine Rd,Richmond,Virginia,37.5385087,-77.43428,,
84,EdgeConneX Richmond - EDCRIC01,EdgeConneX,"1450 E Parham Rd, Suite 1450",Richmond,Virginia,37.5385087,-77.43428,,
85,Flexential Richmond,Flexential,"8801 Park Central Drive, Suite 200",Richmond,Virginia,37.5385087,-77.43428,,
86,GWeb Data Center,Global Web Solutions Inc.,7474 Lee Davis Road,Mechanicsville,Virginia,37.6276923,-77.35381329976744,,
87,Infotel Systems Data Center,Infotel Systems,6008 Hermitage Road,Henrico,Virginia,37.5131191,-77.3465081,,
88,Lumen Richmond 1,Lumen,8851 Park Central Drive,Richmond,Virginia,37.5385087,-77.43428,,
89,Lumen Richmond 2,Lumen,8145 Staples Mill Road,Richmond,Virginia,37.5385087,-77.43428,,
90,Pixel Factory Data Center,Pixel Factory Data Center,9680 Atlee Commons Dr.,Ashland,Virginia,37.7594012,-77.4806603,,
91,QTS Richmond,QTS Data Centers,6000 Technology Blvd,Richmond,Virginia,37.5385087,-77.43428,,
92,DBT DATA Cyber Integration Center,DBT DATA - Cyber Integration Center,139 Tyco Street,Harrisonburg,Virginia,38.4493315,-78.8688833,,
93,QTS Harrisonburg,QTS Data Centers,1175 N. Main Street,Harrisonburg,Virginia,38.4493315,-78.8688833,,
94,Ascent Data,Ascent Data,90 Beta Drive,Pittsburgh,Pennsylvania,40.4416941,-79.9900861,,
95,aspStation,"aspStation, Inc",4736 Penn Ave,Pittsburgh,Pennsylvania,40.4416941,-79.9900861,,
96,Bare Metal PIttsburgh,Bare Metal Pittsburgh,1030 Vinial Street,Pittsburgh,Pennsylvania,40.4416941,-79.9900861,,
97,Citynet Pittsburgh,"Citynet, LLC",Allegheny Center Mall,Pittsburgh,Pennsylvania,40.4416941,-79.9900861,,
98,DataBank - Downtown Pittsburgh,DataBank,100 South commons,Pittsburgh,Pennsylvania,40.4416941,-79.9900861,,
99,Edge Data Center - Pittsburg,American Tower Corporation,1000 Agnew Rd,Pittsburgh,Pennsylvania,40.4416941,-79.9900861,,
100,EdgeConneX Pittsburgh - EDCPIT01,EdgeConneX,282 Corliss St,Pittsburgh,Pennsylvania,40.4416941,-79.9900861,,
101,Expedient - Pittsburgh,Expedient Data Centers,810 Parish Street,Pittsburgh,Pennsylvania,40.4416941,-79.9900861,,
102,Expedient Pittsburgh ACM,Expedient Data Centers,1 Allegheny Center Mall,Pittsburgh,Pennsylvania,40.4416941,-79.9900861,,
103,H5 Data Centers Pittsburgh,H5 Data Centers,2202 Liberty Ave,Pittsburgh,Pennsylvania,40.4416941,-79.9900861,,
104,Involta Data Center Pittsburgh,Involta,161 Armstrong Drive,Freeport,Pennsylvania,40.6739543,-79.6847703,,
105,Iron Mountain Data Centers WPA-1,Iron Mountain,1137 Branchton Road,Boyers,Pennsylvania,41.1083949,-79.8989431,,
106,Lumen Pittsburgh 1,Lumen,143 25th Street,Pittsburgh,Pennsylvania,40.4416941,-79.9900861,,
107,Management Science Associates,Management Science Associates,Secret location,Pittsburgh,Pennsylvania,40.4416941,-79.9900861,,
108,Sierra Data Center,Sierra Data Centers,322 Fourth Ave Suite 800,Pittsburgh,Pennsylvania,40.4416941,-79.9900861,,
109,TeraSwitch Networks - DC1,TeraSwitch Networks Inc.,1016 North Lincoln Ave,Pittsburgh,Pennsylvania,40.4416941,-79.9900861,,
110,viLogics-Pittsburgh,viLogics Data Centers,322 4th Ave,Pittsburgh,Pennsylvania,40.4416941,-79.9900861,,
111,XO Pittsburgh,XO Communications,Allegheny Center Mall,Pittsburgh,Pennsylvania,40.4416941,-79.9900861,,
112,zColo - 2500 Allegheny Center Mall,zColo,2500 Allegheny Center Mall,Pittsburgh,Pennsylvania,40.4416941,-79.9900861,,
113,2300 NW 89th Pl,Digital Realty,2300 NW 89th Pl,Miami,Florida,25.7741728,-80.19362,,
114,36 NE 2nd Street,Digital Realty,36 NE 2nd Street,Miami,Florida,25.7741728,-80.19362,,
115,Aptum - Miami,Aptum,2300 NW 89th Pl,Miami,Florida,25.7741728,-80.19362,,
116,BurstNET - Miami DC1,BurstNET,200 SE 1ST ST,Miami,Florida,25.7741728,-80.19362,,
117,Cogent Miami,"Cogent Communications, Inc.",200 SE 1st St,Miami,Florida,25.7741728,-80.19362,,
118,Cogent Miami 2,"Cogent Communications, Inc.",3701 NW 82nd Street,Doral,Florida,25.8195424,-80.3553302,,
119,ColoHouse,ColoHouse,"36 NE 2nd Street, Suite 400",Miami,Florida,25.7741728,-80.19362,,
120,CoreSite Miami (MI1),CoreSite,2115 NW 22nd Street,Miami,Florida,25.7741728,-80.19362,,
121,Dedicated Server Store,Stealth - ISS Inc.,1953 NW 22nd Street,Miami,Florida,25.7741728,-80.19362,,
122,Digiport DataCenter,Digiport,200 SE 1st Street,Miami,Florida,25.7741728,-80.19362,,
123,East1,Open Hosting,36 NE 2nd Street,Miami,Florida,25.7741728,-80.19362,,
